 Mortalidade - Ceará
Óbitos p/Residênc por Município
Período:2016
"Município";"Óbitos_p/Residênc"
"230010 Abaiara";65
"230015 Acarape";97
"230020 Acaraú";348
"230030 Acopiara";373
"230040 Aiuaba";83
"230050 Alcântaras";62
"230060 Altaneira";56
"230070 Alto Santo";99
"230075 Amontada";179
"230080 Antonina do Norte";62
"230090 Apuiarés";88
"230100 Aquiraz";462
"230110 Aracati";408
"230120 Aracoiaba";172
"230125 Ararendá";62
"230130 Araripe";155
"230140 Aratuba";69
"230150 Arneiroz";42
"230160 Assaré";138
"230170 Aurora";173
"230180 Baixio";31
"230185 Banabuiú";112
"230190 Barbalha";434
"230195 Barreira";138
"230200 Barro";145
"230205 Barroquinha";92
"230210 Baturité";236
"230220 Beberibe";313
"230230 Bela Cruz";174
"230240 Boa Viagem";368
"230250 Brejo Santo";295
"230260 Camocim";353
"230270 Campos Sales";220
"230280 Canindé";527
"230290 Capistrano";129
"230300 Caridade";116
"230310 Cariré";118
"230320 Caririaçu";171
"230330 Cariús";124
"230340 Carnaubal";99
"230350 Cascavel";397
"230360 Catarina";83
"230365 Catunda";60
"230370 Caucaia";1786
"230380 Cedro";178
"230390 Chaval";86
"230393 Choró";61
"230395 Chorozinho";127
"230400 Coreaú";140
"230410 Crateús";579
"230420 Crato";856
"230423 Croatá";106
"230425 Cruz";137
"230426 Deputado Irapuan Pinheiro";73
"230427 Ererê";32
"230428 Eusébio";270
"230430 Farias Brito";135
"230435 Forquilha";125
"230440 Fortaleza";15376
"230445 Fortim";78
"230450 Frecheirinha";100
"230460 General Sampaio";47
"230465 Graça";82
"230470 Granja";299
"230480 Granjeiro";29
"230490 Groaíras";64
"230495 Guaiúba";140
"230500 Guaraciaba do Norte";264
"230510 Guaramiranga";31
"230520 Hidrolândia";165
"230523 Horizonte";314
"230526 Ibaretama";80
"230530 Ibiapina";165
"230533 Ibicuitinga";72
"230535 Icapuí";105
"230540 Icó";443
"230550 Iguatu";732
"230560 Independência";170
"230565 Ipaporanga";94
"230570 Ipaumirim";84
"230580 Ipu";254
"230590 Ipueiras";312
"230600 Iracema";105
"230610 Irauçuba";131
"230620 Itaiçaba";49
"230625 Itaitinga";203
"230630 Itapagé";283
"230640 Itapipoca";585
"230650 Itapiúna";129
"230655 Itarema";194
"230660 Itatira";139
"230670 Jaguaretama";125
"230680 Jaguaribara";64
"230690 Jaguaribe";250
"230700 Jaguaruana";222
"230710 Jardim";177
"230720 Jati";55
"230725 Jijoca de Jericoacoara";109
"230730 Juazeiro do Norte";1813
"230740 Jucás";165
"230750 Lavras da Mangabeira";210
"230760 Limoeiro do Norte";367
"230763 Madalena";122
"230765 Maracanaú";1309
"230770 Maranguape";652
"230780 Marco";133
"230790 Martinópole";52
"230800 Massapê";240
"230810 Mauriti";247
"230820 Meruoca";84
"230830 Milagres";156
"230835 Milhã";98
"230837 Miraíma";67
"230840 Missão Velha";230
"230850 Mombaça";333
"230860 Monsenhor Tabosa";116
"230870 Morada Nova";415
"230880 Moraújo";44
"230890 Morrinhos";115
"230900 Mucambo";109
"230910 Mulungu";52
"230920 Nova Olinda";111
"230930 Nova Russas";257
"230940 Novo Oriente";185
"230945 Ocara";162
"230950 Orós";193
"230960 Pacajus";354
"230970 Pacatuba";332
"230980 Pacoti";81
"230990 Pacujá";55
"231000 Palhano";55
"231010 Palmácia";51
"231020 Paracuru";208
"231025 Paraipaba";201
"231030 Parambu";213
"231040 Paramoti";68
"231050 Pedra Branca";302
"231060 Penaforte";56
"231070 Pentecoste";223
"231080 Pereiro";113
"231085 Pindoretama";159
"231090 Piquet Carneiro";120
"231095 Pires Ferreira";67
"231100 Poranga";78
"231110 Porteiras";86
"231120 Potengi";74
"231123 Potiretama";34
"231126 Quiterianópolis";138
"231130 Quixadá";610
"231135 Quixelô";133
"231140 Quixeramobim";511
"231150 Quixeré";141
"231160 Redenção";196
"231170 Reriutaba";133
"231180 Russas";485
"231190 Saboeiro";81
"231195 Salitre";82
"231220 Santa Quitéria";257
"231200 Santana do Acaraú";171
"231210 Santana do Cariri";98
"231230 São Benedito";333
"231240 São Gonçalo do Amarante";294
"231250 São João do Jaguaribe";70
"231260 São Luís do Curu";94
"231270 Senador Pompeu";222
"231280 Senador Sá";36
"231290 Sobral";1122
"231300 Solonópole";145
"231310 Tabuleiro do Norte";234
"231320 Tamboril";207
"231325 Tarrafas";61
"231330 Tauá";396
"231335 Tejuçuoca";93
"231340 Tianguá";456
"231350 Trairi";253
"231355 Tururu";74
"231360 Ubajara";172
"231370 Umari";49
"231375 Umirim";90
"231380 Uruburetama";139
"231390 Uruoca";83
"231395 Varjota";130
"231400 Várzea Alegre";286
"231410 Viçosa do Ceará";293
"230000 Município ignorado - CE";2
"Total";54276
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 
