"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"11 Rondônia";"82,39";"83,87";"79,26";"92,75";"85,82";"76,72";"98,18";"111,27";"63,77";"85,05";"82,92";"82,12";"68,12";"83,13"
"12 Acre";"75,06";"79,18";"76,32";"84,74";"74,35";"58,87";"59,29";"75,54";"46,91";"63,56";"69,84";"74,83";"49,42";"67,93"
"13 Amazonas";"76,40";"78,63";"73,30";"80,09";"79,18";"67,06";"77,14";"94,95";"48,27";"71,14";"75,22";"79,80";"59,44";"72,83"
"14 Roraima";"71,13";"80,21";"75,19";"84,42";"73,13";"60,70";"82,30";"105,27";"57,41";"89,16";"83,50";"77,48";"54,85";"75,75"
"15 Pará";"84,70";"84,04";"81,55";"84,11";"77,87";"67,91";"71,71";"67,51";"41,43";"57,38";"60,48";"65,14";"47,04";"68,85"
"16 Amapá";"74,15";"84,31";"75,31";"77,88";"73,77";"67,66";"76,11";"88,75";"56,62";"57,89";"63,76";"69,27";"34,63";"69,41"
"17 Tocantins";"79,53";"81,54";"75,12";"87,78";"76,34";"72,78";"85,09";"92,37";"60,94";"77,95";"81,12";"82,12";"69,85";"78,11"
"21 Maranhão";"83,65";"84,62";"87,04";"87,15";"77,67";"73,54";"83,27";"94,40";"43,38";"64,39";"68,11";"63,23";"42,28";"73,75"
"22 Piauí";"76,69";"78,11";"75,44";"86,04";"77,57";"71,99";"76,06";"80,68";"46,94";"68,44";"72,86";"69,58";"56,55";"71,78"
"23 Ceará";"74,75";"76,10";"74,40";"83,44";"74,76";"73,09";"96,57";"107,71";"56,44";"84,51";"88,44";"75,18";"62,04";"77,72"
"24 Rio Grande do Norte";"70,54";"72,82";"71,04";"81,30";"74,96";"66,86";"82,44";"89,17";"42,23";"55,95";"70,92";"68,19";"54,97";"68,63"
"25 Paraíba";"74,71";"76,88";"77,15";"82,82";"70,88";"71,43";"83,53";"86,34";"50,10";"70,08";"74,48";"76,94";"53,77";"72,84"
"26 Pernambuco";"75,92";"78,11";"74,97";"88,72";"78,44";"71,80";"86,44";"101,09";"51,43";"72,86";"76,95";"71,10";"54,23";"74,80"
"27 Alagoas";"69,00";"75,31";"74,08";"73,81";"70,45";"67,30";"84,08";"92,74";"44,88";"74,72";"81,19";"71,79";"52,95";"70,88"
"28 Sergipe";"75,27";"76,07";"76,12";"83,94";"74,33";"74,76";"86,11";"91,00";"47,05";"68,35";"75,21";"68,84";"50,04";"72,50"
"29 Bahia";"74,57";"76,77";"75,80";"84,73";"77,33";"72,29";"83,78";"93,06";"44,35";"65,14";"65,37";"65,14";"51,42";"71,28"
"31 Minas Gerais";"74,74";"78,04";"80,85";"87,40";"82,73";"80,04";"90,21";"100,33";"57,58";"76,28";"84,74";"77,86";"68,18";"78,93"
"32 Espírito Santo";"75,19";"75,93";"74,74";"88,35";"79,71";"72,30";"90,98";"98,39";"51,19";"73,30";"80,98";"75,32";"65,94";"75,79"
"33 Rio de Janeiro";"69,15";"71,36";"67,48";"83,91";"73,71";"68,11";"84,08";"96,14";"47,98";"77,31";"72,67";"61,19";"41,79";"69,31"
"35 São Paulo";"70,30";"72,49";"70,36";"84,96";"77,28";"73,37";"88,20";"98,63";"45,94";"73,03";"78,80";"74,50";"61,24";"72,95"
"41 Paraná";"73,64";"76,66";"75,22";"89,97";"79,48";"77,59";"86,95";"96,41";"55,32";"79,78";"82,41";"82,87";"66,48";"77,42"
"42 Santa Catarina";"72,19";"74,86";"74,19";"88,07";"78,79";"72,94";"91,81";"100,69";"58,88";"79,42";"84,46";"83,98";"69,09";"77,99"
"43 Rio Grande do Sul";"67,62";"69,20";"67,22";"81,99";"72,95";"73,47";"84,15";"87,69";"53,86";"73,51";"78,27";"79,46";"67,81";"72,21"
"50 Mato Grosso do Sul";"74,90";"78,53";"75,77";"89,37";"83,46";"81,81";"110,11";"113,07";"63,55";"85,80";"94,40";"90,84";"63,93";"83,85"
"51 Mato Grosso";"78,13";"79,39";"73,54";"87,40";"81,37";"75,04";"92,61";"100,32";"58,32";"76,56";"80,78";"78,28";"67,07";"78,09"
"52 Goiás";"80,21";"80,41";"76,25";"96,24";"82,52";"79,36";"86,63";"93,55";"53,60";"72,20";"76,79";"71,93";"61,35";"76,70"
"53 Distrito Federal";"115,82";"137,02";"110,68";"67,70";"64,84";"85,83";"89,33";"71,55";"75,28";"74,89";"82,22";"79,12";"71,80";"84,96"
"Total";"74,32";"76,52";"74,66";"85,31";"77,32";"73,29";"86,31";"95,07";"50,44";"72,93";"77,13";"73,44";"58,48";"74,12"
